fecha,jurisdiccion,sorteo,numero,posicion
2025-12-15,JUJUY,Nocturna,0453,8
2025-12-15,JUJUY,Nocturna,4156,9
2025-12-15,JUJUY,Nocturna,9491,10
2025-12-15,JUJUY,Nocturna,7021,11
2025-12-15,JUJUY,Nocturna,5936,12
2025-12-15,JUJUY,Nocturna,2030,13
2025-12-15,JUJUY,Nocturna,9305,14
2025-12-15,JUJUY,Nocturna,3844,15
2025-12-15,JUJUY,Nocturna,3613,16
2025-12-15,JUJUY,Nocturna,9086,17
2025-12-15,JUJUY,Nocturna,6674,18
2025-12-15,JUJUY,Nocturna,1218,19
2025-12-15,JUJUY,Nocturna,2909,20
2025-12-15,JUJUY,Vespertina,9600,1
2025-12-15,JUJUY,Vespertina,7955,2
2025-12-15,JUJUY,Vespertina,7272,3
2025-12-15,JUJUY,Vespertina,7948,4
2025-12-15,JUJUY,Vespertina,7016,5
2025-12-15,JUJUY,Vespertina,9411,6
2025-12-15,JUJUY,Vespertina,7542,7
2025-12-15,JUJUY,Vespertina,1839,8
2025-12-15,JUJUY,Vespertina,2013,9
2025-12-15,JUJUY,Vespertina,6014,10
2025-12-15,JUJUY,Vespertina,9534,11
2025-12-15,JUJUY,Vespertina,3410,12
2025-12-15,JUJUY,Vespertina,6662,13
2025-12-15,JUJUY,Vespertina,2068,14
2025-12-15,JUJUY,Vespertina,5932,15
2025-12-15,JUJUY,Vespertina,9522,16
2025-12-15,JUJUY,Vespertina,9586,17
2025-12-15,JUJUY,Vespertina,6027,18
2025-12-15,JUJUY,Vespertina,2055,19
2025-12-15,JUJUY,Vespertina,0117,20
2025-12-15,PBA,Extra,4442,1
2025-12-15,PBA,Extra,1039,2
2025-12-15,PBA,Extra,8780,3
2025-12-15,PBA,Extra,7793,4
2025-12-15,PBA,Extra,3687,5
2025-12-15,PBA,Extra,8270,6
2025-12-15,PBA,Extra,5427,7
2025-12-15,PBA,Extra,5165,8
2025-12-15,PBA,Extra,2421,9
2025-12-15,PBA,Extra,1183,10
2025-12-15,PBA,Extra,1371,11
2025-12-15,PBA,Extra,9914,12
2025-12-15,PBA,Extra,8409,13
2025-12-15,PBA,Extra,9498,14
2025-12-15,PBA,Extra,3702,15
2025-12-15,PBA,Extra,7870,16
2025-12-15,PBA,Extra,6875,17
2025-12-15,PBA,Extra,6740,18
2025-12-15,PBA,Extra,9962,19
2025-12-15,PBA,Extra,2762,20
2025-12-15,PBA,Matutina,1921,1
2025-12-15,PBA,Matutina,1696,2
2025-12-15,PBA,Matutina,2995,3
2025-12-15,PBA,Matutina,2247,4
2025-12-15,PBA,Matutina,6983,5
2025-12-15,PBA,Matutina,3819,6
2025-12-15,PBA,Matutina,6377,7
2025-12-15,PBA,Matutina,4265,8
2025-12-15,PBA,Matutina,8528,9
2025-12-15,PBA,Matutina,1381,10
2025-12-15,PBA,Matutina,7213,11
2025-12-15,PBA,Matutina,3061,12
2025-12-15,PBA,Matutina,4636,13
2025-12-15,PBA,Matutina,2265,14
2025-12-15,PBA,Matutina,1889,15
2025-12-15,PBA,Matutina,8223,16
2025-12-15,PBA,Matutina,0822,17
2025-12-15,PBA,Matutina,0973,18
2025-12-15,PBA,Matutina,0293,19
2025-12-15,PBA,Matutina,4559,20
2025-12-15,PBA,Nocturna,9454,1
2025-12-15,PBA,Nocturna,1269,2
2025-12-15,PBA,Nocturna,9158,3
2025-12-15,PBA,Nocturna,5234,4
2025-12-15,PBA,Nocturna,1324,5
2025-12-15,PBA,Nocturna,7591,6
2025-12-15,PBA,Nocturna,7556,7
2025-12-15,PBA,Nocturna,0175,8
2025-12-15,PBA,Nocturna,8253,9
2025-12-15,PBA,Nocturna,8715,10
2025-12-15,PBA,Nocturna,8683,11
2025-12-15,PBA,Nocturna,1777,12
2025-12-15,PBA,Nocturna,3021,13
2025-12-15,PBA,Nocturna,6618,14
2025-12-15,PBA,Nocturna,5857,15
2025-12-15,PBA,Nocturna,2840,16
2025-12-15,PBA,Nocturna,2207,17
2025-12-15,PBA,Nocturna,7414,18
2025-12-15,PBA,Nocturna,5333,19
2025-12-15,PBA,Nocturna,3053,20
2025-12-15,PBA,Vespertina,7700,1
2025-12-15,PBA,Vespertina,9067,2
2025-12-15,PBA,Vespertina,5550,3
2025-12-15,PBA,Vespertina,2425,4
2025-12-15,PBA,Vespertina,3863,5
2025-12-15,PBA,Vespertina,8769,6
